Date,Merchant,Category,Account,Original Statement,Notes,Amount,Tags
2025-02-05,Walmart,Shopping,Fidelity Rewards Visa *4913,Walmart,,-55.48,
2025-02-04,Panera Bread,Restaurants & Bars,Fidelity Rewards Visa *4913,Panera Bread,,-4.09,
2025-02-04,Little Nippers,Restaurants & Bars,Fidelity Rewards Visa *4913,Little Nippers,,-58.32,
2025-02-03,Salems Market Centre Pittsburgh Pa,Restaurants & Bars,Fidelity Rewards Visa *4913,Salems Market Centre Pittsburgh Pa,,-12.98,
2025-02-03,Chick-Fil-A,Restaurants & Bars,Fidelity Rewards Visa *4913,Chick-fil-A,,-49.71,
2025-02-03,McDonald's,Restaurants & Bars,Fidelity Rewards Visa *4913,McDonald's,,-27.01,
2025-02-03,Venmo,Transfer,Fidelity Rewards Visa *4913,Transfer to Venmo,,-278.10,
2025-02-03,Aldi,Groceries,Fidelity Rewards Visa *4913,Aldi,,-178.91,
2025-02-03,Paperless Post,Office Supplies & Expenses,Fidelity Rewards Visa *4913,Paperless Post,,-12.72,
2025-02-03,Just Thrive Justthrivehea Il,Personal Care,Fidelity Rewards Visa *4913,Just Thrive Justthrivehea Il,,-44.99,
2025-02-03,Dot and Line Art Studi Dotandlineart Ca,Child Activities,Fidelity Rewards Visa *4913,Dot and Line Art Studi Dotandlineart Ca,,-810.00,
2025-02-03,Shell,Gas,Fidelity Rewards Visa *4913,Shell,,-54.02,
2025-02-03,The Beer Mine Pittsburgh Pa,Restaurants & Bars,Fidelity Rewards Visa *4913,The Beer Mine Pittsburgh Pa,,-9.62,
2025-02-03,Magic Painters Run Pittsburgh Pa,Auto Maintenance,Fidelity Rewards Visa *4913,Magic Painters Run Pittsburgh Pa,,-15.00,
2025-01-31,Google One,Uncategorized,Fidelity Rewards Visa *4913,Google One,,-19.99,
2025-01-30,Act Allegheny Parks,Uncategorized,Fidelity Rewards Visa *4913,Act Allegheny Parks,,-35.00,
2025-01-30,Topgolf,Entertainment & Recreation,Fidelity Rewards Visa *4913,Topgolf,,-37.57,
2025-01-29,Poshmark,Clothing,Fidelity Rewards Visa *4913,Poshmark,,-24.97,
2025-01-29,Walmart,Shopping,Fidelity Rewards Visa *4913,Walmart,,-98.53,
2025-01-28,Apple,Entertainment & Recreation,Fidelity Rewards Visa *4913,Apple,,-10.99,
2025-01-28,Trader Joe's,Groceries,Fidelity Rewards Visa *4913,Trader Joe's,,-63.62,
2025-01-27,Sunoco,Gas,Fidelity Rewards Visa *4913,Sunoco,,-42.53,
2025-01-27,Aldi,Groceries,Fidelity Rewards Visa *4913,Aldi,,-194.13,
2025-01-27,Wall Street Journal,Entertainment & Recreation,Fidelity Rewards Visa *4913,Wall Street Journal,,-4.28,
2025-01-27,Michaels,Fun Money,Fidelity Rewards Visa *4913,Michaels,,-14.18,
2025-01-27,Little Nippers,Restaurants & Bars,Fidelity Rewards Visa *4913,Little Nippers,,-60.30,
2025-01-23,Marathon,Gas,Fidelity Rewards Visa *4913,Marathon,,-55.78,
2025-01-23,Marathon,Gas,Fidelity Rewards Visa *4913,Marathon,,-55.78,
2025-01-23,Walmart,Shopping,Fidelity Rewards Visa *4913,Walmart,,-41.23,
2025-01-23,Payment,Credit Card Payment,Fidelity Rewards Visa *4913,Payment,,5478.43,
2025-01-21,Panera Bread,Restaurants & Bars,Fidelity Rewards Visa *4913,Panera Bread,,-32.10,
2025-01-21,Great Clips,Personal Care,Fidelity Rewards Visa *4913,Great Clips,,-18.00,
2025-01-21,Giant Eagle,Groceries,Fidelity Rewards Visa *4913,Giant Eagle,,-70.38,
2025-01-21,Carnegie Science Center,Entertainment & Recreation,Fidelity Rewards Visa *4913,Carnegie Science Center Pittsburgh Pa,,-6.00,
2025-01-21,Eat N Park Pittsburgh Pa,Restaurants & Bars,Fidelity Rewards Visa *4913,Eat N Park Pittsburgh Pa,,-32.47,
2025-01-21,Walmart,Shopping,Fidelity Rewards Visa *4913,Walmart,,-125.67,
2025-01-21,Walmart,Shopping,Fidelity Rewards Visa *4913,Walmart,,-169.87,
2025-01-21,Chick-fil-A,Restaurants & Bars,Fidelity Rewards Visa *4913,Chick-fil-A,,-5.77,
2025-01-21,Aldi,Groceries,Fidelity Rewards Visa *4913,Aldi,,-152.23,
2025-01-21,Little Nippers,Restaurants & Bars,Fidelity Rewards Visa *4913,Little Nippers,,-60.30,
2025-01-21,The Home Depot,Home Improvement,Fidelity Rewards Visa *4913,The Home Depot,,-16.54,
2025-01-21,Panera Bread,Restaurants & Bars,Fidelity Rewards Visa *4913,Panera Bread,,32.10,
2025-01-21,Great Clips,Personal Care,Fidelity Rewards Visa *4913,Great Clips,,18.00,
2025-01-21,Giant Eagle,Groceries,Fidelity Rewards Visa *4913,Giant Eagle,,70.38,
2025-01-21,Carnegie Science Center Pittsburgh Pa,Paychecks,Fidelity Rewards Visa *4913,Carnegie Science Center Pittsburgh Pa,,6.00,
2025-01-21,Eat N Park Pittsburgh Pa,Restaurants & Bars,Fidelity Rewards Visa *4913,Eat N Park Pittsburgh Pa,,32.47,
2025-01-21,Walmart,Shopping,Fidelity Rewards Visa *4913,Walmart,,125.67,
2025-01-21,Walmart,Shopping,Fidelity Rewards Visa *4913,Walmart,,169.87,
2025-01-21,Chick-fil-A,Restaurants & Bars,Fidelity Rewards Visa *4913,Chick-fil-A,,5.77,
2025-01-21,Aldi,Groceries,Fidelity Rewards Visa *4913,Aldi,,152.23,
2025-01-21,Little Nippers,Restaurants & Bars,Fidelity Rewards Visa *4913,Little Nippers,,60.30,
2025-01-21,The Home Depot,Home Improvement,Fidelity Rewards Visa *4913,The Home Depot,,16.54,
2025-01-17,New York Times,Entertainment & Recreation,Fidelity Rewards Visa *4913,New York Times,,-1.57,
2025-01-17,Resonance Violins,Child Activities,Fidelity Rewards Visa *4913,Resonance Violins,,-21.00,
2025-01-17,The Children's Place,Clothing,Fidelity Rewards Visa *4913,The Children's Place,,-17.18,
2025-01-17,New York Times,Entertainment & Recreation,Fidelity Rewards Visa *4913,New York Times,,1.57,
2025-01-17,Resonance Violins,Child Activities,Fidelity Rewards Visa *4913,Resonance Violins,,21.00,
2025-01-17,The Children's Place,Clothing,Fidelity Rewards Visa *4913,The Children's Place,,17.18,
